Risk Ref,Risk Title,Description,Likelihood Score,Impact Score,Risk Score,Risk Category,Risk Owner,Business Unit,Assessed By,Assessment Date,Response,Existing Controls,Freq Min (per yr),Freq Max (per yr),Loss Min (GBP),Loss Max (GBP)
RR-074,Phishing yields a corporate mailbox,A consent-phishing page yields a session token for a staff mailbox.,5,2,10,Credential compromise,Group Head of Fraud,Retail Banking,A. Okafor,2025-04-14,Mitigate,Conditional access; phishing simulation quarterly.,11,57,2500,32500
RR-075,Phishing yields a corporate mailbox,A consent-phishing page yields a session token for a staff mailbox.,6,2,10,Credential compromise,Chief Information Security Officer,Customer Operations,A. Okafor,2025-03-06,Mitigate,Conditional access; phishing simulation quarterly.,6.3,32,3500,48500
RR-076,Phishing yields a corporate mailbox,A consent-phishing page yields a session token for a staff mailbox.,5,2,10,Credential compromise,Group Head of Fraud,Digital Channels,S. Banerjee,07/06/2025,Mitigate,Conditional access; phishing simulation quarterly.,8.2,41,6000,82500
RR-077,Phishing yields a corporate mailbox,A consent-phishing page yields a session token for a staff mailbox.,5,2,10,Credential compromise,Head of Customer Operations,Payments,A. Okafor,2025-08-21,Mitigate,Conditional access; phishing simulation quarterly.,6.8,34,7500,101000
RR-078,Phishing yields a corporate mailbox,A consent-phishing page yields a session token for a staff mailbox.,5,3,15,Credential compromise,Head of Customer Operations,Platform Engineering,A. Okafor,2025-07-05,Mitigate,Conditional access; phishing simulation quarterly.,7.7,39,7500,101500
RR-079,Phishing yields a corporate mailbox,A consent-phishing page yields a session token for a staff mailbox.,5,3,15,Credential compromise,Head of Technology Risk,Group Security,A. Okafor,2025-09-20,Mitigate,Conditional access; phishing simulation quarterly.,11,57,3000,42000
RR-080,Phishing yields a corporate mailbox,A consent-phishing page yields a session token for a staff mailbox.,4,3,12,Credential compromise,Director of Engineering,Data Platform,T. Novak,2025-04-18,Mitigate,Conditional access; phishing simulation quarterly.,6.2,31,4500,63000
RR-081,Developer credential leaked in a public repository,A token is committed to a public repository and used before rotation.,3,3,9,Credential compromise,Head of Payments Operations,Platform Engineering,J. Lindqvist,2025-04-25,Mitigate,Secret scanning on push for the main organisation only.,1.2,4.8,13000,192500
RR-082,Developer credential leaked in a public repository,A token is committed to a public repository and used before rotation.,5,3,15,Credential compromise,Head of Technology Risk,Digital Channels,A. Okafor,2025-09-18,Mitigate,Secret scanning on push for the main organisation only.,1.5,6,36000,542000
RR-083,Session token theft through an unpatched browser extension,An extension with broad permissions exfiltrates session cookies.,3,4,12,Credential compromise,Head of Technology Risk,Corporate IT,A. Okafor,2025-02-20,Mitigate,Extension allowlist on managed devices.,,,,
RR-084,Regional cloud outage removes the primary payment path,A provider region becomes unavailable for several hours during a peak window.,1,4,4,Availability,Group Head of Fraud,Payments,M. Reyes,2025-07-02,Mitigate,Multi-zone within one region; cross-region failover untested.,0.22,1.1,397500,3181500
RR-085,Regional cloud outage removes the primary payment path,A provider region becomes unavailable for several hours during a peak window.,1,4,4,Availability,Chief Information Security Officer,Platform Engineering,J. Lindqvist,15th May,Mitigate,Multi-zone within one region; cross-region failover untested.,0.14,0.75,726000,5807500
RR-086,Certificate expiry takes a customer-facing service offline,A certificate outside the automated renewal path expires.,5,2,10,Availability,Head of Payments Operations,Digital Channels,A. Okafor,2025-02-24,Mitigate,Automated renewal for 80% of endpoints; alerting at 14 days.,0.62,2.5,16000,120000
RR-087,Certificate expiry takes a customer-facing service offline,A certificate outside the automated renewal path expires.,2,3,6,Availability,Chief Information Security Officer,Platform Engineering,J. Lindqvist,2025-03-02,Mitigate,Automated renewal for 80% of endpoints; alerting at 14 days.,0.88,3.5,8000,62000
RR-088,Certificate expiry takes a customer-facing service offline,A certificate outside the automated renewal path expires.,4,3,12,Availability,Group Head of Fraud,Corporate IT,R. Delacroix,2025-08-24,Mitigate,Automated renewal for 80% of endpoints; alerting at 14 days.,1.1,4.3,8500,65500
RR-089,Certificate expiry takes a customer-facing service offline,A certificate outside the automated renewal path expires.,5,2,6,Availability,Head of Technology Risk,Payments,A. Okafor,2025-01-06,Mitigate,Automated renewal for 80% of endpoints; alerting at 14 days.,1.1,4.4,19500,146500
RR-090,Certificate expiry takes a customer-facing service offline,A certificate outside the automated renewal path expires.,3,3,9,Availability,Data Protection Officer,Data Platform,T. Novak,2025-09-25,Mitigate,Automated renewal for 80% of endpoints; alerting at 14 days.,1.7,7,10500,80500
RR-091,Volumetric denial of service against the public edge,Sustained traffic exceeds the contracted scrubbing capacity.,3,3,9,Availability,Head of Payments Operations,Digital Channels,S. Banerjee,2025-08-07,Transfer,Provider scrubbing to a contracted ceiling.,,,,
RR-092,Volumetric denial of service against the public edge,Sustained traffic exceeds the contracted scrubbing capacity.,3,3,9,Availability,Head of Technology Risk,Payments,M. Reyes,2025-09-22,Transfer,Provider scrubbing to a contracted ceiling.,,,,
RR-093,Change to a shared platform component halts batch settlement,A library upgrade changes behaviour under load and the overnight run does not complete.,3,,9,Availability,Head of Infrastructure,Payments,M. Reyes,10/09/2025,Mitigate,Staged rollout; rollback tested.,,,,
RR-094,Change to a shared platform component halts batch settlement,A library upgrade changes behaviour under load and the overnight run does not complete.,2,4,8,Availability,Data Protection Officer,Platform Engineering,J. Lindqvist,11/01/2025,Mitigate,Staged rollout; rollback tested.,,,,
RR-095,Privileged insider alters transaction records,An administrator with database access modifies records and the change is not detectable.,1,5,5,Insider,Head of Payments Operations,Payments,M. Reyes,2025-05-09,Mitigate,Privileged session recording in one environment.,,,,
RR-096,Privileged insider alters transaction records,An administrator with database access modifies records and the change is not detectable.,1,5,5,Insider,Director of Engineering,Retail Banking,S. Banerjee,2025-03-06,Mitigate,Privileged session recording in one environment.,,,,
RR-097,Privileged insider alters transaction records,An administrator with database access modifies records and the change is not detectable.,1,5,4.5,Insider,Head of Customer Operations,Group Security,A. Okafor,2025-02-19,Mitigate,Privileged session recording in one environment.,,,,
RR-098,Support agent views records outside a service interaction,Case tooling permits broad search without a purpose being recorded.,4,2,8,Insider,Group Head of Fraud,Customer Operations,R. Delacroix,2025-08-25,Mitigate,Post-hoc sampling of 1% of searches.,6.9,35,2000,33500
RR-099,Support agent views records outside a service interaction,Case tooling permits broad search without a purpose being recorded.,5,2,10,Insider,Head of Infrastructure,Retail Banking,A. Okafor,2025-09-05,Mitigate,Post-hoc sampling of 1% of searches.,4.2,21,1500,20000
RR-100,Authorised push payment fraud against retail customers,Customers are induced to transfer funds to an account controlled by the fraudster.,5,4,20,Payment fraud,Director of Engineering,Retail Banking,S. Banerjee,2025-07-08,Mitigate,Confirmation of payee; behavioural warnings at initiation.,30,118,3000,18000
RR-101,Authorised push payment fraud against retail customers,Customers are induced to transfer funds to an account controlled by the fraudster.,4,4,16,Payment fraud,Chief Information Security Officer,Payments,M. Reyes,2025-04-11,Mitigate,Confirmation of payee; behavioural warnings at initiation.,92,368,2500,16500
RR-102,Authorised push payment fraud against retail customers,Customers are induced to transfer funds to an account controlled by the fraudster.,5,3,15,Payment fraud,Group Head of Fraud,Digital Channels,,2025-08-07,Mitigate,Confirmation of payee; behavioural warnings at initiation.,49,196,5000,33000
RR-103,Merchant account takeover redirects settlement,Settlement details are changed after a takeover of the merchant portal.,3,5,15,Payment fraud,Group Head of Fraud,Payments,M. Reyes,2025-06-24,Mitigate,Out-of-band confirmation on bank detail changes.,1.4,7,180500,1403500
RR-104,Internal payment approval control bypassed by a shared account,Dual authorisation is defeated because two approvers share a credential.,3,5,15,Payment fraud,Group Head of Fraud,Payments,A. Okafor,2025-03-17,Mitigate,Segregation of duties policy; no technical enforcement.,,,,
RR-105,Internal payment approval control bypassed by a shared account,Dual authorisation is defeated because two approvers share a credential.,3,4,12,Payment fraud,Group Head of Fraud,Corporate IT,A. Okafor,2025-05-10,Mitigate,Segregation of duties policy; no technical enforcement.,,,,
RR-106,Regulatory penalty following a sustained control failure,A control reported as effective is found to have been ineffective across a reporting period.,5,5,25,Regulatory,Head of Payments Operations,Group Security,A. Okafor,2025-06-09,Mitigate,Annual attestation; internal audit on a three-year cycle.,0.032,0.13,255500,767000
RR-107,Regulatory penalty following a sustained control failure,A control reported as effective is found to have been ineffective across a reporting period.,5,4,20,Regulatory,Head of Infrastructure,Retail Banking,S. Banerjee,2025-07-07,Mitigate,Annual attestation; internal audit on a three-year cycle.,0.031,0.12,533000,1599000
RR-108,Breach notification deadline missed for a reportable incident,A 72-hour notification window is missed because severity is assessed late.,3,3,9,Regulatory,Head of Technology Risk,Group Security,A. Okafor,2025-08-01,Mitigate,Incident severity guide; on-call legal rota.,,,,
RR-109,Breach notification deadline missed for a reportable incident,A 72-hour notification window is missed because severity is assessed late.,2,3,6,Regulatory,Head of Infrastructure,Customer Operations,R. Delacroix,2025-07-06,Mitigate,Incident severity guide; on-call legal rota.,,,,
RR-110,Data transfer to a jurisdiction without an adequacy basis,A new processing location is adopted before the transfer basis is documented.,2,4,8,Regulatory,Group Head of Fraud,Data Platform,T. Novak,2025-03-07,Mitigate,Privacy review on new suppliers.,,,,
RR-111,,A new processing location is adopted before the transfer basis is documented.,2,3,6,Regulatory,Chief Information Security Officer,Customer Operations,R. Delacroix,2025-08-04,Mitigate,Privacy review on new suppliers.,,,,
RR-112,Unpatched internet-facing appliance exploited,A known exploited vulnerability in an edge appliance is not remediated inside the window.,2,4,8,Vulnerability management,Group Head of Fraud,Platform Engineering,J. Lindqvist,2025-03-19,Mitigate,Monthly patch cycle; emergency process for known exploited vulnerabilities.,1,4.1,213500,2133500
RR-113,Unpatched internet-facing appliance exploited,A known exploited vulnerability in an edge appliance is not remediated inside the window.,4,5,20,Vulnerability management,Head of Infrastructure,Corporate IT,A. Okafor,2025-07-12,Mitigate,Monthly patch cycle; emergency process for known exploited vulnerabilities.,0.38,1.5,305000,3048000
